,Repo,Header,Label,Prediction
496,map-vectorizer-README.md, First run,run,run
497,map-vectorizer-README.md, Configuring,usage,
498,map-vectorizer-README.md, Required argument,requirements,
499,map-vectorizer-README.md, Semi-optional arguments,usage,
500,map-vectorizer-README.md, Optional arguments,usage,
501,map-vectorizer-README.md, Customizing The Vectorizer to your own maps,,
502,map-vectorizer-README.md, Templates and other files,,
503,map-vectorizer-README.md, Other scripts,,
504,map-vectorizer-README.md, Acknowledgements,ack,ack
505,map-vectorizer-README.md, Change log,,
506,microsoft-malmo-README.md, Malmö ,,
507,microsoft-malmo-README.md, MalmoEnv ,,
508,microsoft-malmo-README.md, Malmo as a native Python wheel ,,
509,microsoft-malmo-README.md, Problems: ,,faq
510,microsoft-malmo-README.md, Launching Minecraft with our Mod: ,usage,
511,microsoft-malmo-README.md, Running a Python agent: ,run,run
512,microsoft-malmo-README.md, Running a C++ agent: ,run,run
513,microsoft-malmo-README.md, Running a C agent: ,run,run
514,microsoft-malmo-README.md, Running a Java agent: ,run,run
515,microsoft-malmo-README.md, Running an Atari agent: (Linux only) ,run,run
516,microsoft-malmo-README.md, Citations ,citation,citation
517,microsoft-malmo-README.md, Code of Conduct ,,
518,mplleaflet-README.md, mplleaflet,,
519,mplleaflet-README.md, Basic usage,usage,usage
520,mplleaflet-README.md, IPython Notebook embedding,,
521,mplleaflet-README.md, Other examples,,usage
522,mplleaflet-README.md, Why mplleaflet?,,
523,mplleaflet-README.md, Installation,install,install
524,mplleaflet-README.md, Development,,
525,mplleaflet-README.md, Dependencies,requirements,requirements
526,pose-residual-network-pytorch-README.md, Pose Residual Network,long_title,
527,pose-residual-network-pytorch-README.md, Getting Started,usage,usage
528,pose-residual-network-pytorch-README.md, Prerequisites,requirements,requirements
529,pose-residual-network-pytorch-README.md, Installing,install,install
530,pose-residual-network-pytorch-README.md, Training,,
531,pose-residual-network-pytorch-README.md, Testing,,
532,pose-residual-network-pytorch-README.md, Results,,
533,pose-residual-network-pytorch-README.md, Citation,citation,citation
534,react-README.md, [React](https://reactjs.org/) &middot; [![GitHub license](https://img.shields.io/badge/license-MIT-blue.svg)](https://github.com/facebook/react/blob/master/LICENSE) [![npm version](https://img.shields.io/npm/v/react.svg?style=flat)](https://www.npmjs.com/package/react) [![CircleCI Status](https://circleci.com/gh/facebook/react.svg?style=shield&circle-token=:circle-token)](https://circleci.com/gh/facebook/react) [![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen.svg)](https://reactjs.org/docs/how-to-contribute.htmlyour-first-pull-request),,
535,react-README.md, Installation,install,install
536,react-README.md, Documentation,documentation,documentation
537,react-README.md, Examples,usage,usage
538,react-README.md, Contributing,contribute,
539,react-README.md, [Code of Conduct](https://code.fb.com/codeofconduct),,
540,react-README.md, [Contributing Guide](https://reactjs.org/contributing/how-to-contribute.html),contribute,
541,react-README.md, Good First Issues,,
542,react-README.md, License,license,license
543,da-faster-rcnn-README.md,  Domain Adaptive Faster R-CNN for Object Detection in the Wild ,long_title,
544,da-faster-rcnn-README.md, Acknowledgment,ack,ack
545,da-faster-rcnn-README.md, Usage,usage,usage
546,da-faster-rcnn-README.md, Example,usage,usage
547,da-faster-rcnn-README.md, Other Implementation,,
548,DBNet-README.md, News!,,
549,DBNet-README.md, Contents,,
550,DBNet-README.md, Introduction,description,description
551,DBNet-README.md, Requirements,requirements,requirements
552,DBNet-README.md, Training,,
553,DBNet-README.md, Evaluation    ,,
554,DBNet-README.md, Prediction,,
555,DBNet-README.md, Baseline,,
556,DBNet-README.md, Contributors,contributor,contributor
557,DBNet-README.md, Citation,citation,citation
558,DBNet-README.md, License,license,license
559,tensorflow-magenta-README.md, Getting Started,usage,usage
560,tensorflow-magenta-README.md, Installation,install,install
561,tensorflow-magenta-README.md, Automated Install (w/ Anaconda),install,install
562,tensorflow-magenta-README.md, Manual Install (w/o Anaconda),install,install
563,tensorflow-magenta-README.md, GPU Installation,install,install
564,tensorflow-magenta-README.md, Using Magenta,usage,
565,tensorflow-magenta-README.md, Playing a MIDI Instrument,,
566,tensorflow-magenta-README.md, Development Environment,,
567,tensorflow-magenta-README.md, PIP Release,,
568,vue-README.md, What's the difference between Patreon and OpenCollective?,,
569,vue-README.md, Introduction,description,description
570,vue-README.md, Browser Compatibility,,
571,vue-README.md, Ecosystem,,
572,vue-README.md, Documentation,documentation,documentation
573,vue-README.md, Questions,support,
574,vue-README.md, Issues,,
575,vue-README.md, Changelog,,
576,vue-README.md, Stay In Touch,contact,
577,vue-README.md, Contribution,contribute,
578,vue-README.md, License,license,license
579,sequelize-sequelize-README.md, Sequelize,,
580,sequelize-sequelize-README.md, v5 Release,,
581,sequelize-sequelize-README.md, Table of Contents,,
582,sequelize-sequelize-README.md, Installation,install,install
583,sequelize-sequelize-README.md, Documentation,documentation,documentation
584,sequelize-sequelize-README.md, Responsible disclosure,,
585,sequelize-sequelize-README.md, Resources,,
586,sequelize-sequelize-README.md, Tools,,
587,sequelize-sequelize-README.md, Learning,,
588,sequelize-sequelize-README.md, Translations,,
589,DID-MDN-README.md, Density-aware Single Image De-raining using a Multi-stream Dense Network,long_title,
590,DID-MDN-README.md, Prerequisites:,requirements,requirements
591,DID-MDN-README.md, Installation:,install,install
592,DID-MDN-README.md, Demo using pre-trained model,usage,usage
593,DID-MDN-README.md, Training (Density-aware Deraining network using GT label),,
594,DID-MDN-README.md, Density-estimation Training (rain-density classifier),,
595,DID-MDN-README.md, Testing,,
596,DID-MDN-README.md, Reproduce,,
597,DID-MDN-README.md, Dataset,,
598,DID-MDN-README.md, Acknowledgments,ack,ack
599,cltk-cltk-README.md, The Classical Language Toolkit,long_title,
600,cltk-cltk-README.md, About,description,
601,cltk-cltk-README.md, Documentation,documentation,documentation
602,cltk-cltk-README.md, Installation,install,install
603,cltk-cltk-README.md, Tutorials,,usage
604,cltk-cltk-README.md, Contributing,contribute,
605,cltk-cltk-README.md, Citation,citation,citation
606,cltk-cltk-README.md, Gratitude,ack,
607,cltk-cltk-README.md, License,license,license
608,segyio-README.md, segyio ,,
609,segyio-README.md, Index ,,
610,segyio-README.md, Introduction ,description,description
611,segyio-README.md, Feature summary ,,description
612,segyio-README.md, Getting started ,usage,usage
613,segyio-README.md, Quick start ,,usage
614,segyio-README.md, Get segyio ,,usage
615,segyio-README.md, Build segyio ,install,
616,segyio-README.md, Developers ,,
617,segyio-README.md, Tutorial ,,usage
618,segyio-README.md, Basics ,,description
619,segyio-README.md, Modes ,,
620,segyio-README.md, Mode examples ,usage,usage
621,segyio-README.md, Project goals ,,
622,segyio-README.md, SEG-Y Revisions ,,
623,segyio-README.md, Contributing ,contribute,
624,segyio-README.md, xarray integration ,,
625,segyio-README.md, Reproducing the test data ,,
626,segyio-README.md, Python ,,
627,segyio-README.md, MATLAB ,,
628,segyio-README.md, ImportError: libsegyio.so.1: cannot open shared object file,,
629,segyio-README.md, Possible solutions,,
630,segyio-README.md, RuntimeError: unable to find sorting,,
631,segyio-README.md, Possible solutions,,
632,segyio-README.md, History ,,
633,ipyleaflet-README.md, ipyleaflet,,
634,ipyleaflet-README.md, Usage,usage,usage
635,ipyleaflet-README.md, Installation,install,install
636,ipyleaflet-README.md, Installation from sources,install,install
637,ipyleaflet-README.md, Documentation,documentation,documentation
638,ipyleaflet-README.md, License,license,license
639,ipyleaflet-README.md, Related projects,,
640,omfvista-README.md, Grab a few elements of interest and plot em up!,,
641,omfvista-README.md, Grab the active plotting window,,
642,omfvista-README.md,  from the thresher tool,,
643,omfvista-README.md, Add our datasets,,
644,omfvista-README.md, Add the bounds axis,,
645,PVGeo-README.md, Demonstrations of *PVGeo*,usage,
646,PVGeo-README.md, Connections,,
647,PVGeo-README.md, Getting Started,usage,usage
648,PVGeo-README.md, Report Issues and Contribute,contribute,support
649,PVGeo-README.md, About the Authors [![Open Source](https://img.shields.io/badge/open--source-yes-brightgreen.svg)](https://opensource.com/resources/what-open-source),,
650,PVGeo-README.md, Linking PVGeo to ParaView,,
651,readgssi-README.md, readgssi,,
652,readgssi-README.md, requirements,requirements,requirements
653,readgssi-README.md, installation,install,install
654,readgssi-README.md, installing from source:,install,install
655,readgssi-README.md, usage,usage,usage
656,readgssi-README.md, CSV output,,
657,readgssi-README.md, example 1A,usage,usage
658,readgssi-README.md, example 1B,usage,usage
659,readgssi-README.md, example 1C: gain can be tricky depending on your colormap,usage,usage
660,readgssi-README.md, example 2A: no background removal,usage,usage
661,readgssi-README.md, example 2B: horizontal mean BGR algorithm applied,usage,usage
662,readgssi-README.md, contributors,contributor,contributor
663,readgssi-README.md, citation suggestion:,citation,citation
664,readgssi-README.md, known bugs:,faq,
665,readgssi-README.md, future,,
666,RESCAN-README.md, RESCAN: Recurrent Squeeze-and-Excitation Context Aggregation Net,long_title,
667,RESCAN-README.md, Prerequisite,requirements,requirements
668,RESCAN-README.md, Project Structure,,
669,RESCAN-README.md, Best Practices,,
670,RESCAN-README.md, Default Dataset settings,,
671,RESCAN-README.md," Train, Test and Show",,usage
672,RESCAN-README.md, Scripts,,
673,RESCAN-README.md, Cite,citation,citation
674,RESCAN-README.md, Recent Works,,
675,Detectron-README.md, Detectron,,
676,Detectron-README.md, Introduction,description,description
677,Detectron-README.md, Update,,
678,Detectron-README.md, License,license,license
679,Detectron-README.md, Citing Detectron,citation,citation
680,Detectron-README.md, Model Zoo and Baselines,,
681,Detectron-README.md, Installation,install,install
682,Detectron-README.md, Quick Start: Using Detectron,usage,usage
683,Detectron-README.md, Getting Help,support,usage;support
684,Detectron-README.md, References,,citation
685,facebookresearch-pyrobot-README.md, What can you do with PyRobot?,,
686,facebookresearch-pyrobot-README.md, Installing both PyRobot and LoCoBot dependencies,install,install;requirements
687,facebookresearch-pyrobot-README.md, Installing just PyRobot,install,install
688,facebookresearch-pyrobot-README.md, Getting Started,usage,usage
689,facebookresearch-pyrobot-README.md, The Team,,
690,facebookresearch-pyrobot-README.md, Future features,,
691,facebookresearch-pyrobot-README.md, Citation,citation,citation
692,facebookresearch-pyrobot-README.md, License,license,license
693,pymeshfix-README.md, Test of pymeshfix without VTK module,,
694,pymeshfix-README.md, Performs same mesh repair while leveraging VTK's plotting/mesh loading,,
695,pymeshfix-README.md, Read mesh from infile and output cleaned mesh to outfile,,
696,pymeshfix-README.md, Generate vertex and face arrays of cleaned mesh,,
697,pymeshfix-README.md, where v and f are numpy arrays or python lists,,
698,pymeshfix-README.md, Create object from vertex and face arrays,,
699,pymeshfix-README.md, Plot input,,
700,pymeshfix-README.md, Repair input mesh,,
701,pymeshfix-README.md, Access the repaired mesh with vtk,,
702,pymeshfix-README.md," Or, access the resulting arrays directly from the object",,
703,pymeshfix-README.md, numpy np.float array,,
704,pymeshfix-README.md, numpy np.int32 array,,
705,pymeshfix-README.md, View the repaired mesh (requires vtkInterface),,
706,pymeshfix-README.md, Save the mesh,,
707,pymeshfix-README.md, Create TMesh object,,
708,pymeshfix-README.md," tin.load_array(v, f)  or read arrays from memory",,
709,pymeshfix-README.md, Attempt to join nearby components,,
710,pymeshfix-README.md, tin.join_closest_components(),,
711,pymeshfix-README.md, Fill holes,,
712,pymeshfix-README.md, Clean (removes self intersections),,
713,pymeshfix-README.md, Check mesh for holes again,,
714,pymeshfix-README.md, Clean again if necessary...,,
715,pymeshfix-README.md, Output mesh,,
716,pymeshfix-README.md, or return numpy arrays,,
717,facebookresearch-DensePose-README.md, DensePose: ,,
718,facebookresearch-DensePose-README.md, Installation,install,install
719,facebookresearch-DensePose-README.md, Inference-Training-Testing,,
720,facebookresearch-DensePose-README.md, Visualization of DensePose-COCO annotations:,,
721,facebookresearch-DensePose-README.md, DensePose-COCO in 3D:,,
722,facebookresearch-DensePose-README.md, Visualize DensePose-RCNN Results:,,
723,facebookresearch-DensePose-README.md, DensePose-RCNN Texture Transfer:,,
724,facebookresearch-DensePose-README.md, License,license,license
725,facebookresearch-DensePose-README.md," <a name=""CitingDensePose""></a>Citing DensePose",citation,
726,DaSiamRPN-README.md, DaSiamRPN,,
727,DaSiamRPN-README.md, Introduction,description,description
728,DaSiamRPN-README.md, Prerequisites,requirements,requirements
729,DaSiamRPN-README.md, Pretrained model for SiamRPN,,
730,DaSiamRPN-README.md, Detailed steps to install the prerequisites,install,install;requirements
731,DaSiamRPN-README.md, Results,,
732,DaSiamRPN-README.md, Demo and Test on OTB2015,usage,usage
733,DaSiamRPN-README.md, License,license,license
734,DaSiamRPN-README.md, Citing DaSiamRPN,citation,citation
735,hmr-README.md, End-to-end Recovery of Human Shape and Pose,,
736,hmr-README.md, Requirements,requirements,requirements
737,hmr-README.md, Linux Setup with virtualenv,install,install
738,hmr-README.md, Install TensorFlow,install,install
739,hmr-README.md, Windows Setup with python 3 and Anaconda,install,install
740,hmr-README.md, if you need to get chumpy ,,usage
741,hmr-README.md, Demo,usage,usage
742,hmr-README.md, Webcam Demo (thanks @JulesDoe!),usage,usage
743,hmr-README.md, Training code/data,,
744,hmr-README.md, Citation,citation,citation
745,hmr-README.md, Opensource contributions,contribute,
746,GPRPy-README.md, GPRPy,,
747,GPRPy-README.md, Simplemost installation,install,install
748,GPRPy-README.md, Running the software,run,run
749,GPRPy-README.md, Running automatically generated scripts,run,run
750,GPRPy-README.md, In case of trouble,,faq
751,GPRPy-README.md, Uninstalling GPRPy,,
752,GPRPy-README.md, News,,
753,d3-README.md, D3: Data-Driven Documents,long_title,
754,d3-README.md, Resources,,
755,d3-README.md, Installing,install,install
756,iter-reason-README.md, Iterative Visual Reasoning Beyond Convolutions,long_title,
757,iter-reason-README.md, Disclaimer,,
758,iter-reason-README.md, Prerequisites,requirements,requirements
759,iter-reason-README.md, Setup and Running,run;install,install;run
760,iter-reason-README.md, References,,citation
761,tetgen-README.md, get cell centroids,,usage
762,tetgen-README.md, extract cells below the 0 xy plane,,
763,tetgen-README.md, advanced plotting,,
764,tetgen-README.md, plot quality,,
765,GAN_stability-README.md, GAN stability,,
766,GAN_stability-README.md, Usage,usage,usage
767,GAN_stability-README.md, Notes,usage,
768,GAN_stability-README.md, celebA-HQ,,
769,GAN_stability-README.md, Imagenet,,
770,pylops-README.md, Objective,,
771,pylops-README.md, Project structure,,
772,pylops-README.md, Getting started,usage,usage
773,pylops-README.md, From PyPi,install,
774,pylops-README.md, From Conda-forge,install,
775,pylops-README.md, From Docker,install,
776,pylops-README.md, Contributing,contribute,
777,pylops-README.md, 1. Fork and clone the repository,,
778,pylops-README.md, 2. Install PyLops in a new Conda environment,,install
779,pylops-README.md, Documentation,documentation,documentation
780,pylops-README.md, History,,
781,pylops-README.md, Contributors,contributor,contributor
782,generator-arcgis-js-app-README.md, generator-arcgis-js-app,,
783,generator-arcgis-js-app-README.md, What is Yeoman?,description,
784,generator-arcgis-js-app-README.md, Yeoman Generators,,
785,generator-arcgis-js-app-README.md, What is used?,,
786,generator-arcgis-js-app-README.md, Usage,usage,usage
787,generator-arcgis-js-app-README.md, Still a beta,,
788,generator-arcgis-js-app-README.md, Notes,usage,
789,generator-arcgis-js-app-README.md, Getting To Know Yeoman,,usage
790,generator-arcgis-js-app-README.md, License,license,license
791,puppeteer-README.md, Puppeteer,,
792,puppeteer-README.md, [API](https://github.com/GoogleChrome/puppeteer/blob/v1.18.0/docs/api.md) | [FAQ](faq) | [Contributing](https://github.com/GoogleChrome/puppeteer/blob/master/CONTRIBUTING.md) | [Troubleshooting](https://github.com/GoogleChrome/puppeteer/blob/master/docs/troubleshooting.md),contribute,
793,puppeteer-README.md, What can I do?,,
794,puppeteer-README.md, Installation,install,install
795,puppeteer-README.md, puppeteer-core,,
796,puppeteer-README.md, Usage,usage,usage
797,puppeteer-README.md, Default runtime settings,,
798,puppeteer-README.md, Resources,,
799,puppeteer-README.md, Debugging tips,,
800,puppeteer-README.md, Basic verbose logging,,
801,puppeteer-README.md, Protocol traffic can be rather noisy. This example filters out all Network domain messages,,usage
802,puppeteer-README.md, Contributing to Puppeteer,contribute,
803,puppeteer-README.md, Q: Who maintains Puppeteer?,,
804,puppeteer-README.md, Q: What are Puppeteer’s goals and principles?,,
805,puppeteer-README.md, Q: Is Puppeteer replacing Selenium/WebDriver?,,
806,puppeteer-README.md, Q: Why doesn’t Puppeteer v.XXX work with Chromium v.YYY?,,
807,puppeteer-README.md, Q: Which Chromium version does Puppeteer use?,,usage
808,puppeteer-README.md, Q: What’s considered a “Navigation”?,,
809,puppeteer-README.md," Q: What’s the difference between a “trusted"" and ""untrusted"" input event?",,
810,puppeteer-README.md, Q: What features does Puppeteer not support?,,support
811,puppeteer-README.md, Q: I am having trouble installing / running Puppeteer in my test environment. Where should I look for help?,,faq;install;run;support
812,puppeteer-README.md, Q: How do I try/test a prerelease version of Puppeteer?,,
813,puppeteer-README.md, Q: I have more questions! Where do I ask?,,
814,integral-human-pose-README.md, Integral Human Pose Regression,long_title,
815,integral-human-pose-README.md, Introduction,description,description
816,integral-human-pose-README.md, Disclaimer,,
817,integral-human-pose-README.md, License,license,license
818,integral-human-pose-README.md, Citing Papers,citation,citation
819,integral-human-pose-README.md, Main Results,,
820,integral-human-pose-README.md, Environment,requirements,
821,integral-human-pose-README.md, Installation,install,install
822,integral-human-pose-README.md, Preparation for Training & Testing,,install
823,integral-human-pose-README.md, Extensions,,
824,node-qa-masker-README.md, node-qa-masker,,
825,node-qa-masker-README.md, Installation,install,install
826,node-qa-masker-README.md, Landsat 8,,
827,node-qa-masker-README.md, MODIS Land Products,,
828,node-qa-masker-README.md, Looking for command line tool?,,
829,node-qa-masker-README.md, You are a GIS guy and want something GIS?,,
830,GANimation-README.md, [[Project]](http://www.albertpumarola.com/research/GANimation/index.html)[ [Paper]](https://arxiv.org/abs/1807.09251) ,citation,
831,GANimation-README.md, Prerequisites,requirements,requirements
832,GANimation-README.md, Data Preparation,,install
833,GANimation-README.md, Run,run,run
834,GANimation-README.md, Citation,citation,citation
835,geojson-vt-README.md, geojson-vt &mdash; GeoJSON Vector Tiles,,
836,geojson-vt-README.md, Demo,usage,usage
837,geojson-vt-README.md, Usage,usage,usage
838,geojson-vt-README.md, Options,usage,
839,geojson-vt-README.md, Install,install,install
840,tensorflow-README.md, Installation,install,install
841,tensorflow-README.md, *Try your first TensorFlow program*,,
842,tensorflow-README.md, Contribution guidelines,contribute,
843,tensorflow-README.md, Official Builds,,
844,tensorflow-README.md, Community Supported Builds,,
845,tensorflow-README.md, For more information,,
846,tensorflow-README.md, License,license,license
847,3D-ResNets-PyTorch-README.md, Update (2018/2/21),,
848,3D-ResNets-PyTorch-README.md, Update (2018/01/16),,
849,3D-ResNets-PyTorch-README.md, Update (2017/11/27),,
850,3D-ResNets-PyTorch-README.md, Summary,,description
851,3D-ResNets-PyTorch-README.md, Citation,citation,citation
852,3D-ResNets-PyTorch-README.md, Pre-trained models,,
853,3D-ResNets-PyTorch-README.md, Performance of the models on Kinetics,,
854,3D-ResNets-PyTorch-README.md, Requirements,requirements,requirements
855,3D-ResNets-PyTorch-README.md, ActivityNet,,
856,3D-ResNets-PyTorch-README.md, Kinetics,,
857,3D-ResNets-PyTorch-README.md, UCF-101,,
858,3D-ResNets-PyTorch-README.md, HMDB-51,,
859,3D-ResNets-PyTorch-README.md, Running the code,run,run
860,DeepGuidedFilter-README.md, Fast End-to-End Trainable Guided Filter,,install
861,DeepGuidedFilter-README.md, Overview,,
862,DeepGuidedFilter-README.md, Prepare Environment,requirements,install
863,DeepGuidedFilter-README.md, Image Processing,,
864,DeepGuidedFilter-README.md, Semantic Segmentation with Deeplab-Resnet,,
865,DeepGuidedFilter-README.md, Saliency Detection with DSS,,
866,DeepGuidedFilter-README.md, Monocular Depth Estimation (TensorFlow version),,
867,DeepGuidedFilter-README.md, Install Released Version,install,install
868,DeepGuidedFilter-README.md, Usage,usage,usage
869,DeepGuidedFilter-README.md, Prepare Training Environment,requirements,install
870,DeepGuidedFilter-README.md, Start to Train,,usage
871,DeepGuidedFilter-README.md, Citation,citation,citation
872,SRN-Deblur-README.md, Scale-recurrent Network for Deep Image Deblurring,long_title,
873,SRN-Deblur-README.md, Our results on real data,,
874,SRN-Deblur-README.md, Results on the testing dataset,,
875,SRN-Deblur-README.md, More cases on real photos from previous papers:,,
876,SRN-Deblur-README.md, Prerequisites,requirements,requirements
877,SRN-Deblur-README.md, Installation,install,install
878,SRN-Deblur-README.md, Testing,,
879,SRN-Deblur-README.md, Evaluation,,
880,SRN-Deblur-README.md, Training,,
881,SRN-Deblur-README.md, Models,,
882,SRN-Deblur-README.md, How to choose,,
883,SRN-Deblur-README.md, Reference,citation,citation
884,SRN-Deblur-README.md, Contact,contact,contact
885,hyvr-README.md,"Introduction
",description,description
886,hyvr-README.md,"Installing the HyVR package
",install,install
887,hyvr-README.md,"Usage
",usage,usage
888,hyvr-README.md,Source,,
889,hyvr-README.md,"Requirements
",requirements,requirements
890,hyvr-README.md,Development,,
891,hyvr-README.md,"Problems, Bugs, Unclear Documentation
",faq,faq;documentation
892,lasio-README.md, lasio,,
893,lasio-README.md, Documentation,documentation,documentation
894,lasio-README.md, Quick start,,usage
895,lasio-README.md, License,license,license
896,striplog-README.md, Of course you don't need this one if you didn't install it yet.,,install
897,striplog-README.md, Or whatever was the last version to build.,,
