Repo,Header,Label
vue-README.md, Browser Compatibility,
vue-README.md, Ecosystem,
vue-README.md, Documentation,documentation
vue-README.md, Questions,support
vue-README.md, Issues,
vue-README.md, Changelog,
vue-README.md, Stay In Touch,contact
vue-README.md, Contribution,contribute
vue-README.md, License,license
sequelize-sequelize-README.md, Sequelize,
sequelize-sequelize-README.md, v5 Release,
sequelize-sequelize-README.md, Table of Contents,
sequelize-sequelize-README.md, Installation,install
sequelize-sequelize-README.md, Documentation,documentation
sequelize-sequelize-README.md, Responsible disclosure,
sequelize-sequelize-README.md, Resources,
sequelize-sequelize-README.md, Tools,
sequelize-sequelize-README.md, Learning,
sequelize-sequelize-README.md, Translations,
DID-MDN-README.md, Density-aware Single Image De-raining using a Multi-stream Dense Network,long_title
DID-MDN-README.md, Prerequisites:,requirements
DID-MDN-README.md, Installation:,install
DID-MDN-README.md, Demo using pre-trained model,usage
DID-MDN-README.md, Training (Density-aware Deraining network using GT label),
DID-MDN-README.md, Density-estimation Training (rain-density classifier),
DID-MDN-README.md, Testing,
DID-MDN-README.md, Reproduce,
DID-MDN-README.md, Dataset,
DID-MDN-README.md, Acknowledgments,ack
cltk-cltk-README.md, The Classical Language Toolkit,long_title
cltk-cltk-README.md, About,description
cltk-cltk-README.md, Documentation,documentation
cltk-cltk-README.md, Installation,install
cltk-cltk-README.md, Tutorials,
cltk-cltk-README.md, Contributing,contribute
cltk-cltk-README.md, Citation,citation
cltk-cltk-README.md, Gratitude,ack
cltk-cltk-README.md, License,license
segyio-README.md, segyio ,
segyio-README.md, Index ,
segyio-README.md, Introduction ,description
segyio-README.md, Feature summary ,
segyio-README.md, Getting started ,usage
segyio-README.md, Quick start ,
segyio-README.md, Get segyio ,
segyio-README.md, Build segyio ,install
segyio-README.md, Developers ,
segyio-README.md, Tutorial ,
segyio-README.md, Basics ,
segyio-README.md, Modes ,
segyio-README.md, Mode examples ,usage
segyio-README.md, Project goals ,
segyio-README.md, SEG-Y Revisions ,
segyio-README.md, Contributing ,contribute
segyio-README.md, xarray integration ,
segyio-README.md, Reproducing the test data ,
segyio-README.md, Python ,
segyio-README.md, MATLAB ,
segyio-README.md, ImportError: libsegyio.so.1: cannot open shared object file,
segyio-README.md, Possible solutions,
segyio-README.md, RuntimeError: unable to find sorting,
segyio-README.md, Possible solutions,
segyio-README.md, History ,
ipyleaflet-README.md, ipyleaflet,
ipyleaflet-README.md, Usage,usage
ipyleaflet-README.md, Installation,install
ipyleaflet-README.md, Installation from sources,install
ipyleaflet-README.md, Documentation,documentation
ipyleaflet-README.md, License,license
ipyleaflet-README.md, Related projects,
omfvista-README.md, Grab a few elements of interest and plot em up!,
omfvista-README.md, Grab the active plotting window,
omfvista-README.md,  from the thresher tool,
omfvista-README.md, Add our datasets,
omfvista-README.md, Add the bounds axis,
PVGeo-README.md, Demonstrations of *PVGeo*,usage
PVGeo-README.md, Connections,
PVGeo-README.md, Getting Started,usage
PVGeo-README.md, Report Issues and Contribute,contribute
PVGeo-README.md, About the Authors [![Open Source](https://img.shields.io/badge/open--source-yes-brightgreen.svg)](https://opensource.com/resources/what-open-source),
PVGeo-README.md, Linking PVGeo to ParaView,
readgssi-README.md, readgssi,
readgssi-README.md, requirements,requirements
readgssi-README.md, installation,install
readgssi-README.md, installing from source:,install
readgssi-README.md, usage,usage
readgssi-README.md, CSV output,
readgssi-README.md, example 1A,usage
readgssi-README.md, example 1B,usage
readgssi-README.md, example 1C: gain can be tricky depending on your colormap,usage
readgssi-README.md, example 2A: no background removal,usage
readgssi-README.md, example 2B: horizontal mean BGR algorithm applied,usage
readgssi-README.md, contributors,contributor
readgssi-README.md, citation suggestion:,citation
readgssi-README.md, known bugs:,faq
readgssi-README.md, future,
RESCAN-README.md, RESCAN: Recurrent Squeeze-and-Excitation Context Aggregation Net,long_title
RESCAN-README.md, Prerequisite,requirements
RESCAN-README.md, Project Structure,
RESCAN-README.md, Best Practices,
RESCAN-README.md, Default Dataset settings,
RESCAN-README.md," Train, Test and Show",
RESCAN-README.md, Scripts,
RESCAN-README.md, Cite,citation
RESCAN-README.md, Recent Works,
Detectron-README.md, Detectron,
Detectron-README.md, Introduction,description
Detectron-README.md, Update,
Detectron-README.md, License,license
Detectron-README.md, Citing Detectron,citation
Detectron-README.md, Model Zoo and Baselines,
Detectron-README.md, Installation,install
Detectron-README.md, Quick Start: Using Detectron,usage
Detectron-README.md, Getting Help,support
Detectron-README.md, References,
facebookresearch-pyrobot-README.md, What can you do with PyRobot?,
facebookresearch-pyrobot-README.md, Installing both PyRobot and LoCoBot dependencies,install
facebookresearch-pyrobot-README.md, Installing just PyRobot,install
facebookresearch-pyrobot-README.md, Getting Started,usage
facebookresearch-pyrobot-README.md, The Team,
facebookresearch-pyrobot-README.md, Future features,
facebookresearch-pyrobot-README.md, Citation,citation
facebookresearch-pyrobot-README.md, License,
pymeshfix-README.md, Test of pymeshfix without VTK module,
pymeshfix-README.md, Performs same mesh repair while leveraging VTK's plotting/mesh loading,
pymeshfix-README.md, Read mesh from infile and output cleaned mesh to outfile,
pymeshfix-README.md, Generate vertex and face arrays of cleaned mesh,
pymeshfix-README.md, where v and f are numpy arrays or python lists,
pymeshfix-README.md, Create object from vertex and face arrays,
pymeshfix-README.md, Plot input,
pymeshfix-README.md, Repair input mesh,
pymeshfix-README.md, Access the repaired mesh with vtk,
pymeshfix-README.md," Or, access the resulting arrays directly from the object",
pymeshfix-README.md, numpy np.float array,
pymeshfix-README.md, numpy np.int32 array,
pymeshfix-README.md, View the repaired mesh (requires vtkInterface),
pymeshfix-README.md, Save the mesh,
pymeshfix-README.md, Create TMesh object,
pymeshfix-README.md," tin.load_array(v, f)  or read arrays from memory",
pymeshfix-README.md, Attempt to join nearby components,
pymeshfix-README.md, tin.join_closest_components(),
pymeshfix-README.md, Fill holes,
pymeshfix-README.md, Clean (removes self intersections),
pymeshfix-README.md, Check mesh for holes again,
pymeshfix-README.md, Clean again if necessary...,
pymeshfix-README.md, Output mesh,
pymeshfix-README.md, or return numpy arrays,
facebookresearch-DensePose-README.md, DensePose: ,
facebookresearch-DensePose-README.md, Installation,install
facebookresearch-DensePose-README.md, Inference-Training-Testing,
facebookresearch-DensePose-README.md, Visualization of DensePose-COCO annotations:,
facebookresearch-DensePose-README.md, DensePose-COCO in 3D:,
facebookresearch-DensePose-README.md, Visualize DensePose-RCNN Results:,
facebookresearch-DensePose-README.md, DensePose-RCNN Texture Transfer:,
facebookresearch-DensePose-README.md, License,license
facebookresearch-DensePose-README.md," <a name=""CitingDensePose""></a>Citing DensePose",citation
DaSiamRPN-README.md, DaSiamRPN,
DaSiamRPN-README.md, Introduction,description
DaSiamRPN-README.md, Prerequisites,requirements
DaSiamRPN-README.md, Pretrained model for SiamRPN,
DaSiamRPN-README.md, Detailed steps to install the prerequisites,install
DaSiamRPN-README.md, Results,
DaSiamRPN-README.md, Demo and Test on OTB2015,usage
DaSiamRPN-README.md, License,license
DaSiamRPN-README.md, Citing DaSiamRPN,citation
hmr-README.md, End-to-end Recovery of Human Shape and Pose,
hmr-README.md, Requirements,requirements
hmr-README.md, Linux Setup with virtualenv,install
hmr-README.md, Install TensorFlow,install
hmr-README.md, Windows Setup with python 3 and Anaconda,install
hmr-README.md, if you need to get chumpy ,
hmr-README.md, Demo,usage
hmr-README.md, Webcam Demo (thanks @JulesDoe!),usage
hmr-README.md, Training code/data,
hmr-README.md, Citation,citation
hmr-README.md, Opensource contributions,contribute
GPRPy-README.md, GPRPy,
GPRPy-README.md, Simplemost installation,install
GPRPy-README.md, Running the software,run
GPRPy-README.md, Running automatically generated scripts,run
GPRPy-README.md, In case of trouble,
GPRPy-README.md, Uninstalling GPRPy,
GPRPy-README.md, News,
d3-README.md, D3: Data-Driven Documents,long_title
d3-README.md, Resources,
d3-README.md, Installing,install
iter-reason-README.md, Iterative Visual Reasoning Beyond Convolutions,long_title
iter-reason-README.md, Disclaimer,
iter-reason-README.md, Prerequisites,requirements
iter-reason-README.md, Setup and Running,run;install
iter-reason-README.md, References,
tetgen-README.md, get cell centroids,
tetgen-README.md, extract cells below the 0 xy plane,
tetgen-README.md, advanced plotting,
tetgen-README.md, plot quality,
GAN_stability-README.md, GAN stability,
GAN_stability-README.md, Usage,usage
GAN_stability-README.md, Notes,usage
GAN_stability-README.md, celebA-HQ,
GAN_stability-README.md, Imagenet,
pylops-README.md, Objective,
pylops-README.md, Project structure,
pylops-README.md, Getting started,usage
pylops-README.md, From PyPi,install
pylops-README.md, From Conda-forge,install
pylops-README.md, From Docker,install
pylops-README.md, Contributing,contribute
pylops-README.md, 1. Fork and clone the repository,
pylops-README.md, 2. Install PyLops in a new Conda environment,
pylops-README.md, Documentation,documentation
pylops-README.md, History,
pylops-README.md, Contributors,contributor
generator-arcgis-js-app-README.md, generator-arcgis-js-app,
generator-arcgis-js-app-README.md, What is Yeoman?,description
generator-arcgis-js-app-README.md, Yeoman Generators,
generator-arcgis-js-app-README.md, What is used?,
generator-arcgis-js-app-README.md, Usage,usage
generator-arcgis-js-app-README.md, Still a beta,
generator-arcgis-js-app-README.md, Notes,usage
generator-arcgis-js-app-README.md, Getting To Know Yeoman,
generator-arcgis-js-app-README.md, License,license
puppeteer-README.md, Puppeteer,
puppeteer-README.md, [API](https://github.com/GoogleChrome/puppeteer/blob/v1.18.0/docs/api.md) | [FAQ](faq) | [Contributing](https://github.com/GoogleChrome/puppeteer/blob/master/CONTRIBUTING.md) | [Troubleshooting](https://github.com/GoogleChrome/puppeteer/blob/master/docs/troubleshooting.md),contribute
puppeteer-README.md, What can I do?,
puppeteer-README.md, Installation,install
puppeteer-README.md, puppeteer-core,
puppeteer-README.md, Usage,usage
puppeteer-README.md, Default runtime settings,
puppeteer-README.md, Resources,
puppeteer-README.md, Debugging tips,
puppeteer-README.md, Basic verbose logging,
puppeteer-README.md, Protocol traffic can be rather noisy. This example filters out all Network domain messages,
puppeteer-README.md, Contributing to Puppeteer,contribute
puppeteer-README.md, Q: Who maintains Puppeteer?,
puppeteer-README.md, Q: What are Puppeteer’s goals and principles?,
puppeteer-README.md, Q: Is Puppeteer replacing Selenium/WebDriver?,
puppeteer-README.md, Q: Why doesn’t Puppeteer v.XXX work with Chromium v.YYY?,
puppeteer-README.md, Q: Which Chromium version does Puppeteer use?,
puppeteer-README.md, Q: What’s considered a “Navigation”?,
puppeteer-README.md," Q: What’s the difference between a “trusted"" and ""untrusted"" input event?",
puppeteer-README.md, Q: What features does Puppeteer not support?,
puppeteer-README.md, Q: I am having trouble installing / running Puppeteer in my test environment. Where should I look for help?,
puppeteer-README.md, Q: How do I try/test a prerelease version of Puppeteer?,
puppeteer-README.md, Q: I have more questions! Where do I ask?,
integral-human-pose-README.md, Integral Human Pose Regression,long_title
integral-human-pose-README.md, Introduction,description
integral-human-pose-README.md, Disclaimer,
integral-human-pose-README.md, License,license
integral-human-pose-README.md, Citing Papers,citation
integral-human-pose-README.md, Main Results,
integral-human-pose-README.md, Environment,requirements
integral-human-pose-README.md, Installation,install
integral-human-pose-README.md, Preparation for Training & Testing,
integral-human-pose-README.md, Extensions,
node-qa-masker-README.md, node-qa-masker,
node-qa-masker-README.md, Installation,install
node-qa-masker-README.md, Landsat 8,
node-qa-masker-README.md, MODIS Land Products,
node-qa-masker-README.md, Looking for command line tool?,
node-qa-masker-README.md, You are a GIS guy and want something GIS?,
GANimation-README.md, [[Project]](http://www.albertpumarola.com/research/GANimation/index.html)[ [Paper]](https://arxiv.org/abs/1807.09251) ,citation
GANimation-README.md, Prerequisites,requirements
GANimation-README.md, Data Preparation,
GANimation-README.md, Run,run
GANimation-README.md, Citation,citation
geojson-vt-README.md, geojson-vt &mdash; GeoJSON Vector Tiles,
geojson-vt-README.md, Demo,usage
geojson-vt-README.md, Usage,usage
geojson-vt-README.md, Options,usage
geojson-vt-README.md, Install,install
tensorflow-README.md, Installation,install
tensorflow-README.md, *Try your first TensorFlow program*,
tensorflow-README.md, Contribution guidelines,contribute
tensorflow-README.md, Official Builds,
tensorflow-README.md, Community Supported Builds,
tensorflow-README.md, For more information,
tensorflow-README.md, License,license
3D-ResNets-PyTorch-README.md, Update (2018/2/21),
3D-ResNets-PyTorch-README.md, Update (2018/01/16),
3D-ResNets-PyTorch-README.md, Update (2017/11/27),
3D-ResNets-PyTorch-README.md, Summary,
3D-ResNets-PyTorch-README.md, Citation,citation
3D-ResNets-PyTorch-README.md, Pre-trained models,
3D-ResNets-PyTorch-README.md, Performance of the models on Kinetics,
3D-ResNets-PyTorch-README.md, Requirements,requirements
3D-ResNets-PyTorch-README.md, ActivityNet,
3D-ResNets-PyTorch-README.md, Kinetics,
3D-ResNets-PyTorch-README.md, UCF-101,
3D-ResNets-PyTorch-README.md, HMDB-51,
3D-ResNets-PyTorch-README.md, Running the code,run
DeepGuidedFilter-README.md, Fast End-to-End Trainable Guided Filter,
DeepGuidedFilter-README.md, Overview,
DeepGuidedFilter-README.md, Prepare Environment,requirements
DeepGuidedFilter-README.md, Image Processing,
DeepGuidedFilter-README.md, Semantic Segmentation with Deeplab-Resnet,
DeepGuidedFilter-README.md, Saliency Detection with DSS,
DeepGuidedFilter-README.md, Monocular Depth Estimation (TensorFlow version),
DeepGuidedFilter-README.md, Install Released Version,install
DeepGuidedFilter-README.md, Usage,usage
DeepGuidedFilter-README.md, Prepare Training Environment,requirements
DeepGuidedFilter-README.md, Start to Train,
DeepGuidedFilter-README.md, Citation,citation
SRN-Deblur-README.md, Scale-recurrent Network for Deep Image Deblurring,long_title
SRN-Deblur-README.md, Our results on real data,
SRN-Deblur-README.md, Results on the testing dataset,
SRN-Deblur-README.md, More cases on real photos from previous papers:,
SRN-Deblur-README.md, Prerequisites,requirements
SRN-Deblur-README.md, Installation,install
SRN-Deblur-README.md, Testing,
SRN-Deblur-README.md, Evaluation,
SRN-Deblur-README.md, Training,
SRN-Deblur-README.md, Models,
SRN-Deblur-README.md, How to choose,
SRN-Deblur-README.md, Reference,citation
SRN-Deblur-README.md, Contact,contact
hyvr-README.md,"Introduction
",description
hyvr-README.md,"Installing the HyVR package
",install
hyvr-README.md,"Usage
",usage
hyvr-README.md,Source,
hyvr-README.md,"Requirements
",requirements
hyvr-README.md,Development,
hyvr-README.md,"Problems, Bugs, Unclear Documentation
",faq
lasio-README.md, lasio,
lasio-README.md, Documentation,documentation
lasio-README.md, Quick start,
lasio-README.md, License,license
striplog-README.md, Of course you don't need this one if you didn't install it yet.,
striplog-README.md, Or whatever was the last version to build.,
